#,Pokemon,Type,
236,Gothitelle,Psychic,
237,Sinistea,Ghost,
238,Polteageist,Ghost,
239,Mimikyu,Ghost/Fairy,
240,Klefki,Steel/Fairy,
241,Indeedee,Psychic/Normal,
242,Bramblin,Grass/Ghost,
243,Brambleghast,Grass/Ghost,
244,Toedscool,Ground/Grass,
245,Toedscruel,Ground/Grass,
246,Tropius,Grass/Flying,
247,Fomantis,Grass,
248,Lurantis,Grass,
249,Klawf,Rock,
250,Capsakid,Grass,
251,Scovillain,Grass/Fire,
252,Cacnea,Grass/Dark,
253,Cacturne,Grass/Dark,
254,Rellor,Bug,
255,Rabsca,Bug/Psychic,
256,Venonat,Bug/Poison,
257,Venomoth,Bug/Poison,
258,Pineco,Bug,
259,Forretress,Bug/Steel,
260,Scyther,Bug/Flying,
261,Scizor,Bug/Steel,
262,Heracross,Bug/Fighting,
263,Flittle,Psychic,
264,Espathra,Psychic,
265,Hippopotas,Ground,
266,Hoppopowdon,Ground,
267,Sandile,Ground/Dark,
268,Krokorok,Ground/Dark,
269,Krookodile,Ground/Dark,
270,Silicobra,Ground,
271,Sandaconda,Ground,
272,Mudbray,Ground,
273,Mudsdale,Ground,
274,Larvesta,Bug/Fire,
275,Volcarona,Bug/Fire,
276,Bagon,Dragon,
277,Shelgon,Dragon,
278,Salamence,Dragon/Flying,
279,Tinkatink,Fairy/Steel,
280,Tinkatuff,Fairy/Steel,
281,Tinkaton,Fairy/Steel,
282,Hatenna,Psychic/Fairy,
283,Hattrem,Psychic/Fairy,
284,Hatterene,Psychic/Fairy,
285,Impidimp,Dark/Fairy,
286,Morgrem,Dark/Fairy,
287,Grimmsnarl,Dark/Fairy,
288,Wiglett,Water,
289,Wugtrio,Water,
290,Bombirdier,Flying Dark,
291,Finizen,Water,
292,Palafin,Water,
293,Varoom,Steel/Poison,
294,Revavroom,Steel/Poison,
295,Cyclizar,Dragon/Normal,
296,Orthworm,Steel,
297,Sableye,Ghost/Dark,
298,Shuppet,Ghost,
299,Banette,Ghost,
300,Dusknoir,Ghost,
301,Hawlucha,Fighting/Flying,
302,Falinks,Fighting,
303,Noibat,Flying/Dragon,
304,Noivern,Flying/Dragon,
305,Dreepy,Dragon/Ghost,
306,Drakloak,Dragon/Ghost,
307,Dragapult,Dragon/Ghost,
308,Glimmet,Rock/Poison,
309,Glimmora,Rock/Poison,
310,Rotom,Electric/Ghost,
311,Greavard,Ghost,
312,Houndstone,Ghost,
313,Oranguru,Normal/Psychic,
314,Passimian,Fighting,
315,Komala,Normal,
316,Larvitar,Rock/Ground,
317,Pupitar,Rock/Ground,
318,Tyranitar,Rock/Dark,
319,Stonjourner,Rock,
320,Eiscue,Ice,
321,Pincurchin,Electric,
322,Sandygast,Ghost/Ground,
323,Palossand,Ghost/Ground,
324,Slowpoke,Water/Psychic,
325,Slowbro,Water/Psychic,
326,Slowking,Water/Psychic,
327,Shellos,Water/Ground,
328,Gastrodon,Water/Ground,
329,Shellder,Water,
330,Cloyster,Water/Ice,
331,Qwilfish,Water/Poison,
332,Luvdisc,Water,
333,Finneon,Water,
334,Lumineon,Water,
335,Bruxish,Water/Psychic,
336,Alomomola,Water,
337,Skrelp,Poison/Water,
338,Dragalge,Poison/Dragon,
339,Clauncher,Water,
340,Clawitzer,Water,
341,Tynamo,Electric,
342,Elektrik,Electric,
343,Elektross,Electric,
344,Mareanie,Poison/Water,
345,Toxapex,Poison/Water,
346,Flamigo,Flying/Fighting,
347,Dratini,Dragon,
348,Dragonair,Dragon,
349,Dragonite,Dragon/Flying,
350,Snom,Ice/Bug,
351,Frosmoth,Ice/Bug,
352,Snover,Ice/Grass,
353,Abomasnow,Ice/Grass,
354,Delibird,Ice/Flying,
355,Cubchoo,Ice,
356,Beartic,Ice,
357,Snorunt,Ice,
358,Glalie,Ice,
359,Froslass,Ice/Ghost,
360,Cryogonal,Ice,
361,Cetoddle,Ice,
362,Cetitan,Ice,
363,Bergmite,Ice,
364,Avalugg,Ice,
365,Rufflet,Normal/Flying,
366,Braviary,Normal/Flying,
367,Pawniard,Dark/Steel,
368,Bisharp,Dark/Steel,
369,Kingambit,Dark/Steel,
370,Deino,Dark/Dragon,
371,Zweilous,Dark/Dragon,
372,Hydreigon,Dark/Dragon,
373,Veluza,Water/Psychic,
374,Dondozo,Water,
375,Tatsugiri,Dragon/Water,
376,Great Tusk,Ground/Fighting,
377,Scream Tail,Fairy/Psychic,
378,Brute Bonnet,Grass/Dark,
379,Flutter Mane,Ghost/Fairy,
380,Slither Wing,Bug/Fighting,
381,Sandy Shocks,Electric/Ground,
382,Iron Treads,Ground/Steel,
383,Iron Bundle,Ice/Water,
384,Iron Hands,Fighting/Electric,
385,Iron Jugulis,Dark/Flying,
386,Iron Moth,Fire/Poison,
387,Iron Thorns,Rock/Electric,
388,Frigibax,Dragon/Ice,
389,Artibax,Dargon/Ice,
390,Baxcalibur,Dragon/Ice,
391,Gimmighoul,Ghost,
392,Gholdengo,Ghost/Steel,
393,Wo-Chien,Dark/Grass,
394,Chien-Pao,Dark/Ice,
395,Ting-Lu,Dark/Ground,
396,Chi-Yu,Dark/Fire,
397,Roaring Moon,Dragon/Dark,
398,Iron Valiant,Fighting/Fairy,
399,Koraidon,Fighting/Dragon,
400,Miraidon,Electric/Dragon,
